1009,	1,	2,	S,	从那
1011,	14,	14,	S,	实
1021,	5,	6,	S,	帮度
1022,	10,	10,	S,	的
1022,	15,	15,	S,	成
1026,	11,	11,	S,	不
1028,	19,	19,	S,	从
1029,	3,	3,	S,	做
1066,	13,	13,	S,	个
1074,	32,	32,	S,	识
1075,	24,	24,	S,	带
1081,	21,	21,	S,	直
1086,	7,	7,	S,	导
1093,	11,	11,	S,	会
1098,	1,	1,	S,	你
1098,	14,	16,	S,	最且來
1106,	34,	34,	S,	获
1110,	24,	24,	S,	西
1114,	19,	19,	S,	為
1131,	21,	21,	S,	题
1141,	20,	20,	S,	年
1142,	10,	10,	S,	现
1147,	20,	20,	S,	子
1156,	6,	6,	S,	把
1160,	23,	24,	S,	能完
1171,	20,	20,	S,	分
1190,	14,	14,	S,	直
1201,	6,	6,	S,	球
1212,	46,	46,	S,	的
1219,	14,	14,	S,	说
1230,	3,	3,	S,	子
1231,	9,	9,	S,	人
1231,	12,	12,	S,	分
1234,	2,	2,	S,	次
1237,	4,	4,	S,	帮
1239,	2,	2,	S,	把
1245,	8,	8,	S,	有
1278,	14,	14,	S,	他
1298,	46,	46,	S,	的
1300,	17,	17,	S,	己
1313,	15,	15,	S,	高
1313,	59,	59,	S,	今
1333,	4,	4,	S,	列
1333,	10,	10,	S,	征
1340,	9,	9,	S,	本
1352,	9,	9,	S,	旅
1358,	8,	8,	S,	人
1373,	6,	6,	S,	受
1378,	34,	34,	S,	水
1384,	9,	9,	S,	漂
1391,	31,	31,	S,	待
1395,	2,	2,	S,	个
1402,	41,	42,	S,	影响
1409,	5,	5,	S,	是
1420,	20,	20,	S,	景
1424,	1,	1,	S,	从
1439,	25,	25,	S,	终
1441,	36,	36,	S,	对
1452,	6,	6,	S,	阔
1455,	14,	14,	S,	的
1467,	13,	13,	S,	使
1483,	44,	44,	S,	上
1497,	12,	12,	S,	厂
1502,	42,	42,	S,	址
1504,	7,	7,	S,	门
1511,	12,	12,	S,	出
1513,	6,	6,	S,	了
1523,	5,	5,	S,	说
1546,	31,	31,	S,	会
1558,	3,	3,	S,	类
1561,	6,	6,	S,	面
1565,	20,	20,	S,	式
1568,	20,	20,	S,	认
1574,	18,	18,	S,	认
1576,	3,	3,	S,	得
1600,	11,	11,	S,	源
1601,	6,	6,	S,	讓
1606,	32,	32,	S,	高
1608,	12,	12,	S,	很
1631,	3,	3,	S,	次
1637,	8,	8,	S,	得
1641,	32,	32,	S,	旦
1652,	14,	14,	S,	让
1658,	16,	16,	S,	认
1662,	17,	17,	S,	成
1663,	26,	26,	S,	目
1681,	10,	10,	S,	必
1685,	19,	19,	S,	能
1692,	64,	64,	S,	造
1701,	5,	5,	S,	展
1713,	15,	15,	S,	玩
1722,	30,	30,	S,	的
1735,	9,	9,	S,	份
1747,	12,	12,	S,	明
1769,	5,	5,	S,	注
1770,	61,	62,	S,	各同
1789,	2,	3,	S,	希望
1812,	37,	37,	S,	做
1820,	57,	58,	S,	造会
1822,	8,	9,	S,	批字
1827,	10,	10,	S,	历
1829,	8,	8,	S,	界
1837,	23,	23,	S,	新
1867,	11,	11,	S,	久
1868,	6,	6,	S,	大
1877,	6,	6,	S,	组
1894,	4,	4,	S,	例
1907,	16,	16,	S,	娶
1930,	14,	14,	S,	少
1943,	27,	27,	S,	让
1948,	19,	19,	S,	丽
1959,	24,	24,	S,	做
1960,	18,	18,	S,	不
1976,	5,	5,	S,	把
1979,	19,	19,	S,	做
1984,	9,	9,	S,	況
1996,	1,	1,	S,	作
2003,	9,	9,	S,	交
2006,	2,	2,	S,	同
2006,	4,	4,	S,	们
2048,	21,	21,	S,	很
2048,	61,	61,	S,	句
2050,	19,	19,	S,	克
2082,	12,	12,	S,	需
2086,	4,	4,	S,	展
2113,	34,	34,	S,	候
2124,	21,	21,	S,	分
2134,	23,	23,	S,	演
2138,	64,	64,	S,	知
2141,	34,	34,	S,	就
2156,	23,	24,	S,	了一
2160,	7,	7,	S,	余
2165,	8,	8,	S,	两
2167,	44,	44,	S,	大
2173,	11,	11,	S,	很
2194,	4,	4,	S,	有
2194,	20,	20,	S,	是
2200,	4,	4,	S,	字
2208,	24,	24,	S,	要
2221,	32,	32,	S,	外
2223,	12,	13,	S,	中学
2231,	50,	51,	S,	清确
2232,	9,	9,	S,	片
2233,	10,	11,	S,	也是
2245,	16,	16,	S,	能
2260,	5,	5,	S,	间
2260,	16,	17,	S,	小时
2268,	47,	47,	S,	喝
2271,	19,	19,	S,	依
2277,	1,	1,	S,	因
2279,	16,	16,	S,	且
2279,	30,	30,	S,	形
2279,	38,	38,	S,	象
2284,	6,	6,	S,	出
2290,	3,	3,	S,	许
2305,	12,	12,	S,	为
2306,	5,	5,	S,	意
2306,	11,	12,	S,	区别
2310,	10,	10,	S,	的
2319,	26,	26,	S,	着
2326,	25,	25,	S,	是
2334,	45,	45,	S,	生
